issue_date	mutual_fund_name	name_of_issuer	cusip	number_of_shares
2012-02-02	ADVANCE_CAPITAL_I_INC	INTL BUSINESS MACHINES CORP	 459200101 	7,000
2012-02-02	ADVANCE_CAPITAL_I_INC	JM SMUCKER CO/THE	 832696405 	4,200
2012-02-02	ADVANCE_CAPITAL_I_INC	JOHNSON & JOHNSON	 478160104 	58,600
2012-02-02	ADVANCE_CAPITAL_I_INC	JOHNSON CONTROLS INC	 478366107 	11,600
2012-02-02	ADVANCE_CAPITAL_I_INC	KIMBERLY-CLARK CORP	 494368103 	49,000
2012-02-02	ADVANCE_CAPITAL_I_INC	KOHLS CORP	 500255104 	8,900
2012-02-02	ADVANCE_CAPITAL_I_INC	KRAFT FOODS INC-CLASS A	 50075N104 	89,000
2012-02-02	ADVANCE_CAPITAL_I_INC	LOWE'S COS INC	 548661107 	19,100
2012-02-02	ADVANCE_CAPITAL_I_INC	MARATHON OIL CORP	 565849106 	33,200
2012-02-02	ADVANCE_CAPITAL_I_INC	MCDONALD'S CORP	 580135101 	8,700
2012-02-02	ADVANCE_CAPITAL_I_INC	MEDTRONIC INC	 585055106 	18,400
2012-02-02	ADVANCE_CAPITAL_I_INC	MERCK & CO. INC.	 58933Y105 	99,900
2012-02-02	ADVANCE_CAPITAL_I_INC	MICROSOFT CORP	 594918104 	57,900
2012-02-02	ADVANCE_CAPITAL_I_INC	MURPHY OIL CORP	 626717102 	6,900
2012-02-02	ADVANCE_CAPITAL_I_INC	NATIONAL OILWELL VARCO INC	 637071101 	14,900
2012-02-02	ADVANCE_CAPITAL_I_INC	NEXTERA ENERGY INC	 65339F101 	11,300
2012-02-02	ADVANCE_CAPITAL_I_INC	NIKE INC -CL B	 654106103 	3,600
2012-02-02	ADVANCE_CAPITAL_I_INC	NORTHERN TRUST CORP	 665859104 	13,100
2012-02-02	ADVANCE_CAPITAL_I_INC	NYSE EURONEXT	 629491101 	14,500
2012-02-02	ADVANCE_CAPITAL_I_INC	ORACLE CORP	 68389X105 	10,700
2012-02-02	ADVANCE_CAPITAL_I_INC	PEABODY ENERGY CORP	 704549104 	13,600
2012-02-02	ADVANCE_CAPITAL_I_INC	PEPSICO INC	 713448108 	54,300
2012-02-02	ADVANCE_CAPITAL_I_INC	PFIZER INC	 717081103 	49,800
2012-02-02	ADVANCE_CAPITAL_I_INC	PNC FINANCIAL SERVICES GROUP	 693475105 	9,500
2012-02-02	ADVANCE_CAPITAL_I_INC	PPL CORPORATION	 69351T106 	21,500
2012-02-02	ADVANCE_CAPITAL_I_INC	PRINCIPAL FINANCIAL GROUP	 74251V102 	12,300
2012-02-02	ADVANCE_CAPITAL_I_INC	PROCTER & GAMBLE CO/THE	 742718109 	63,500
2012-02-02	ADVANCE_CAPITAL_I_INC	QUALCOMM INC	 747525103 	12,600
2012-02-02	ADVANCE_CAPITAL_I_INC	RAYTHEON COMPANY	 755111507 	13,400
2012-02-02	ADVANCE_CAPITAL_I_INC	REYNOLDS AMERICAN INC	 761713106 	12,300
2012-02-02	ADVANCE_CAPITAL_I_INC	STAPLES INC	 855030102 	34,500
2012-02-02	ADVANCE_CAPITAL_I_INC	STRYKER CORP	 863667101 	9,700
2012-02-02	ADVANCE_CAPITAL_I_INC	TARGET CORP	 87612E106 	17,700
2012-02-02	ADVANCE_CAPITAL_I_INC	TEXAS INSTRUMENTS INC	 882508104 	16,100
2012-02-02	ADVANCE_CAPITAL_I_INC	TIME WARNER INC	 887317303 	20,400
2012-02-02	ADVANCE_CAPITAL_I_INC	TORONTO-DOMINION BANK	 891160509 	6,700
2012-02-02	ADVANCE_CAPITAL_I_INC	TJX COMPANIES INC	 872540109 	7,500
2012-02-02	ADVANCE_CAPITAL_I_INC	TRAVELERS COS INC/THE	 89417E109 	10,400
2012-02-02	ADVANCE_CAPITAL_I_INC	UNITED TECHNOLOGIES CORP	 913017109 	8,500
2012-02-02	ADVANCE_CAPITAL_I_INC	UNITEDHEALTH GROUP INC	 91324P102 	16,600
2012-02-02	ADVANCE_CAPITAL_I_INC	UNUM GROUP	 91529Y106 	21,900
2012-02-02	ADVANCE_CAPITAL_I_INC	VERIZON COMMUNICATIONS INC	 92343V104 	22,300
2012-02-02	ADVANCE_CAPITAL_I_INC	VISA	 92826C839 	4,900
2012-02-02	ADVANCE_CAPITAL_I_INC	WALGREEN CO	 931422109 	13,900
2012-02-02	ADVANCE_CAPITAL_I_INC	WAL-MART STORES INC	 931142103 	20,000
2012-02-02	ADVANCE_CAPITAL_I_INC	WALT DISNEY CO/THE	 254687106 	10,100
2012-02-02	ADVANCE_CAPITAL_I_INC	WELLS FARGO & CO	 949746101 	38,100
2012-02-02	ADVANCE_CAPITAL_I_INC	XEROX CORP	 984121103 	65,900
